nombre,email,password,rol,estado,cupo_total,cupo_disponible,cupo_usado,veces_cupo_completo,compras_completadas
Natalia Flores,natalia.flores@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Andrés Castro,andres.castro@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Camila Romero,camila.romero@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Ricardo Herrera,ricardo.herrera@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Valentina Mendoza,valentina.mendoza@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Gabriel Silva,gabriel.silva@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Gabriela Ruiz,gabriela.ruiz@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Mateo Jiménez,mateo.jimenez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Isabella Duarte,isabella.duarte@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Santiago Morales,santiago.morales@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Daniela Ortega,daniela.ortega@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Sebastián Medina,sebastian.medina@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Paula Vargas,paula.vargas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Nicolás Castillo,nicolas.castillo@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Mariana Rojas,mariana.rojas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Samuel Muñoz,samuel.munoz@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Sara Sotomayor,sara.sotomayor@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Felipe Delgado,felipe.delgado@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Andrea Miranda,andrea.miranda@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Esteban Guzmán,esteban.guzman@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Nataly Campos,nataly.campos@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Lucas Cárdenas,lucas.cardenas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Juliana Salazar,juliana.salazar@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Benjamín Sanhueza,benjamin.sanhueza@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Montserrat Pardo,montserrat.pardo@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Tomás Aguilera,tomas.aguilera@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Florencia Navarro,florencia.navarro@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Matías Valencia,matias.valencia@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Constanza Vera,constanza.vera@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Joaquín Saavedra,joaquin.saavedra@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Isidora Donoso,isidora.donoso@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Vicente Palacios,vicente.palacios@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Antonia Arenas,antonia.arenas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Martín Peña,martin.pena@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Catalina Farías,catalina.farias@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Agustín Fuentes,agustin.fuentes@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1offsetXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Francisca Soto,francisca.soto@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Maximilian Bravo,maximilian.bravo@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Emilia Reyes,emilia.reyes@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Alonso Cáceres,alonso.caceres@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Ignacia Henríquez,ignacia.henriquez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Bastián Maldonado,bastian.maldonado@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Pía Barrientos,pia.barrientos@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Rodrigo Sandoval,rodrigo.sandoval@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Fernanda Pacheco,fernanda.pacheco@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Álvaro Villanueva,alvaro.villanueva@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Camila Aravena,camila.aravena@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Cristóbal Gallardo,cristobal.gallardo@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,pendiente,100000.00,100000.00,0.00,0,0
Javiera Salazar,javiera.salazar@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Renato Salinas,renato.salinas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Manuela Escobar,manuela.escobar@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Gabriel Godoy,gabriel.godoy@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Constanza San Martín,constanza.sanmartin@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Fabián Cortéz,fabian.cortez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Consuelo Lagos,consuelo.lagos@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Héctor Ortiz,hector.ortiz@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Valeria Valenzuela,valeria.valenzuela@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Patricio Sepúlveda,patricio.sepulveda@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Loreto Concha,loreto.concha@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Andrés Vivanco,andres.vivanco@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Macarena Leyton,macarena.leyton@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Hugo Riveros,hugo.riveros@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Isabel Maturana,isabel.maturana@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Mauricio Orellana,mauricio.orellana@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Paola Espinoza,paola.espinoza@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Jorge Valdés,jorge.valdes@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Verónica Saavedra,veronica.saavedra@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Arturo Tapia,arturo.tapia@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Claudia Pino,claudia.pino@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Daniel Cavieres,daniel.cavieres@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Bárbara Venegas,barbara.venegas@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Eduardo Lagos,eduardo.lagos@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,pendiente,100000.00,100000.00,0.00,0,0
Paulina Ibáñez,paulina.ibanez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Samuel Garrido,samuel.garrido@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Viviana Millán,viviana.millan@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
César Toledo,cesar.toledo@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Silvia Becerra,silvia.becerra@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Manuel Huerta,manuel.huerta@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Mónica Henríquez,monica.henriquez@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Guillermo Solís,guillermo.solis@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Yolanda Vidal,yolanda.vidal@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Marcos Poblete,marcos.poblete@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,rechazado,100000.00,100000.00,0.00,0,0
Patricia Arriagada,patricia.arriagada@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Humberto Toro,humberto.toro@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Gabriela Godoy2,gabriela.godoy2@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Christian Loyola,christian.loyola@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,pendiente,100000.00,100000.00,0.00,0,0
Sandra Bahamondes,sandra.bahamondes@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,vendedor,activo,100000.00,100000.00,0.00,0,0
Roberto Maturana,roberto.maturana@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
Ingrid Santander,ingrid.santander@example.com,$2b$10$duHeMdpQCUGr3UHdPIjpe.b6O1gsmJolXITP8oZEluZk4W/LutEUm,comprador,activo,100000.00,100000.00,0.00,0,0
